Batch,Lane,Barcode,Sample,Alignments,ProviderName
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N09_S06,pairedendtb,N09_S06
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N09_S07,pairedendtb,N09_S07
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N09_S08,pairedendtb,N09_S08
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N10_S01,pairedendtb,N10_S01
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N10_S02,pairedendtb,N10_S02
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N10_S03,pairedendtb,N10_S03
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N10_S04,pairedendtb,N10_S04
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N10_S05,pairedendtb,N10_S05
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N10_S07,pairedendtb,N10_S07
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N10_S08,pairedendtb,N10_S08
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N11_S01,pairedendtb,N11_S01
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N11_S02,pairedendtb,N11_S02
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N11_S03,pairedendtb,N11_S03
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N11_S04,pairedendtb,N11_S04
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N11_S05,pairedendtb,N11_S05
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N11_S06,pairedendtb,N11_S06
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N11_S07,pairedendtb,N11_S07
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N11_S08,pairedendtb,N11_S08
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N12_S01,pairedendtb,N12_S01
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N12_S02,pairedendtb,N12_S02
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N12_S03,pairedendtb,N12_S03
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N12_S04,pairedendtb,N12_S04
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N12_S05,pairedendtb,N12_S05
/hms/scratch1/tami/2013_10_tb/demultiplexed,-1,AAAAAA,N12_S08,pairedendtb,N12_S08
